label	family	model	claim_line1	what_to_check	assigned	report
card-tools22-pre-2097-r3	tools22-pre	-	RESULT tools22-pre-2097-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2097 at head 3b73b3a9116c: pulse: fair-share capacity allocation across rea	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2097-r3/RESULT.md
card-tools22-pre-2097-r4	tools22-pre	-	RESULT tools22-pre-2097-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2097 at head 3b73b3a9116c: pulse: fair-share capacity allocation across rea	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2097-r4/RESULT.md
card-tools22-pre-2097-r5	tools22-pre	-	RESULT tools22-pre-2097-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2097 at head 3b73b3a9116c: pulse: fair-share capacity allocation across rea	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2097-r5/RESULT.md
card-tools22-pre-2098-r2	tools22-pre	-	RESULT tools22-pre-2098-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2098 at head 50444392f5b1: nova-work: thirteen more tests pinning thirteen 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2098-r2/RESULT.md
card-tools22-pre-2098-r5	tools22-pre	-	RESULT tools22-pre-2098-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2098 at head 50444392f5b1: nova-work: thirteen more tests pinning thirteen 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2098-r5/RESULT.md
card-tools22-pre-2100-r4	tools22-pre	-	RESULT tools22-pre-2100-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2100 at head cdaefa394b5e: wake: slot leasing and daemon argv-only boundary	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2100-r4/RESULT.md
card-tools22-pre-2100-r5	tools22-pre	-	RESULT tools22-pre-2100-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2100 at head cdaefa394b5e: wake: slot leasing and daemon argv-only boundary	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2100-r5/RESULT.md
card-tools22-pre-2101-r2	tools22-pre	-	RESULT tools22-pre-2101-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2101 at head 793a3936e727: pulse: pool-capacity aggregation and atomic metr	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2101-r2/RESULT.md
card-tools22-pre-2101-r3	tools22-pre	-	RESULT tools22-pre-2101-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2101 at head 793a3936e727: pulse: pool-capacity aggregation and atomic metr	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2101-r3/RESULT.md
card-tools22-pre-2101-r4	tools22-pre	-	RESULT tools22-pre-2101-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2101 at head 793a3936e727: pulse: pool-capacity aggregation and atomic metr	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2101-r4/RESULT.md
card-tools22-pre-2101-r5	tools22-pre	-	RESULT tools22-pre-2101-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2101 at head 793a3936e727: pulse: pool-capacity aggregation and atomic metr	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2101-r5/RESULT.md
card-tools22-pre-2108-r3	tools22-pre	deepseek/deepseek-v4-flash	RESULT tools22-pre-2108-r3 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2108 at head fc4866097bf6: accept: a card-printed wall marker is not ABSTAI	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2108-r3/RESULT.md
card-tools22-pre-2109-r3	tools22-pre	deepseek/deepseek-v4-flash	RESULT tools22-pre-2109-r3 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2109 at head fcbf9cb1dcbd: fill: the bench's SEAT comes from the registry, 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2109-r3/RESULT.md
card-tools22-pre-2109-r4	tools22-pre	deepseek-v4-flash	RESULT tools22-pre-2109-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2109 at head fcbf9cb1dcbd: fill: the bench's SEAT comes from the registry, 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2109-r4/RESULT.md
card-tools22-pre-2115-r2	tools22-pre	deepseek-v4-flash	RESULT tools22-pre-2115-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2115 at head 111e48c81139: nova-secrets: restore the store after seal --no-	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2115-r2/RESULT.md
card-tools22-pre-2115-r3	tools22-pre	qwen/qwen3.7-flash	RESULT tools22-pre-2115-r3 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2115 at head 111e48c81139: nova-secrets: restore the store after seal --no-	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2115-r3/RESULT.md
card-tools22-pre-2116-r4	tools22-pre	qwen/qwen3.7-flash	RESULT tools22-pre-2116-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2116 at head d0e2b533c677: cut --kind writes typed headers so lint --card a	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2116-r4/RESULT.md
card-tools22-pre-2118-r2	tools22-pre	deepseek-v4-flash	RESULT tools22-pre-2118-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2118 at head bb5553af4698: nova-review mutate --seed: isolate git/go childr	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2118-r2/RESULT.md
card-tools22-pre-2119-r5	tools22-pre	deepseek-v4-flash	RESULT tools22-pre-2119-r5 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2119 at head dee6a13e8593: fill: one poisoned registry row disables that be	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2119-r5/RESULT.md
card-tools22-pre-2127-r5	tools22-pre	-	"""RESULT tools22-pre-2127-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2127 at head 389fa4700151: Johnny Grok: bound read-card turns and cap reas"	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2127-r5/RESULT.md
card-tools22-pre-2131-r2	tools22-pre	-	RESULT tools22-pre-2131-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2131 at head 31bff5ca9a6f: nova-swarm: --tokens is required on every native	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2131-r2/RESULT.md
card-tools22-pre-2131-r3	tools22-pre	-	RESULT tools22-pre-2131-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2131 at head 31bff5ca9a6f: nova-swarm: --tokens is required on every native	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2131-r3/RESULT.md
card-tools22-pre-2131-r5	tools22-pre	-	RESULT tools22-pre-2131-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2131 at head 31bff5ca9a6f: nova-swarm: --tokens is required on every native	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2131-r5/RESULT.md
card-tools22-pre-2132-r2	tools22-pre	-	RESULT tools22-pre-2132-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2132 at head d09a92889aa4: fill/harvest: timeouts and per-host isolation so	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2132-r2/RESULT.md
card-tools22-pre-2132-r3	tools22-pre	-	RESULT tools22-pre-2132-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2132 at head d09a92889aa4: fill/harvest: timeouts and per-host isolation so	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2132-r3/RESULT.md
card-tools22-pre-2133-r2	tools22-pre	-	RESULT tools22-pre-2133-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2133 at head 0734b481de1e: lifecycle: durable attempt ledger for launch	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2133-r2/RESULT.md
card-tools22-pre-2133-r3	tools22-pre	-	RESULT tools22-pre-2133-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2133 at head 0734b481de1e: lifecycle: durable attempt ledger for launch	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2133-r3/RESULT.md
card-tools22-pre-2133-r5	tools22-pre	-	RESULT tools22-pre-2133-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2133 at head 0734b481de1e: lifecycle: durable attempt ledger for launch	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2133-r5/RESULT.md
card-tools22-pre-2134-r2	tools22-pre	-	RESULT tools22-pre-2134-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2134 at head d90d2e9952c4: harvest: effect-owner fence epoch and RUN action	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2134-r2/RESULT.md
card-tools22-pre-2134-r3	tools22-pre	-	RESULT tools22-pre-2134-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2134 at head d90d2e9952c4: harvest: effect-owner fence epoch and RUN action	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2134-r3/RESULT.md
card-tools22-pre-2134-r5	tools22-pre	-	RESULT tools22-pre-2134-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2134 at head d90d2e9952c4: harvest: effect-owner fence epoch and RUN action	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2134-r5/RESULT.md
card-tools22-pre-2135-r3	tools22-pre	-	RESULT tools22-pre-2135-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2135 at head d76aeaaa533d: nova-tokens: pin fold-pool usage in help so reve	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2135-r3/RESULT.md
card-tools22-pre-2137-r5	tools22-pre	-	RESULT tools22-pre-2137-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2137 at head c01e9da5daaf: memindex: guard the bounded heap top-k selector 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2137-r5/RESULT.md
card-tools22-pre-2138-r2	tools22-pre	-	RESULT tools22-pre-2138-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2138 at head 38d47636bdef: tests: fakerunner whole-file write is published 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2138-r2/RESULT.md
card-tools22-pre-2138-r3	tools22-pre	-	RESULT tools22-pre-2138-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2138 at head 38d47636bdef: tests: fakerunner whole-file write is published 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2138-r3/RESULT.md
card-tools22-pre-2139-r3	tools22-pre	-	RESULT tools22-pre-2139-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2139 at head 4ae65b22845b: work: E01-F02 read bounds solver and unknown nod	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2139-r3/RESULT.md
card-tools22-pre-2139-r5	tools22-pre	-	RESULT tools22-pre-2139-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2139 at head 4ae65b22845b: work: E01-F02 read bounds solver and unknown nod	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2139-r5/RESULT.md
card-tools22-pre-2140-r5	tools22-pre	-	RESULT tools22-pre-2140-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2140 at head 5bd40e026cbe: nova-sandbox: prove the WSL2 resolv.conf symlink	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2140-r5/RESULT.md
card-tools22-pre-2141-r2	tools22-pre	-	RESULT tools22-pre-2141-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2141 at head 41df639c6dca: internal/swarm: dispatcher releases slot leases 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2141-r2/RESULT.md
card-tools22-pre-2141-r3	tools22-pre	-	RESULT tools22-pre-2141-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2141 at head 41df639c6dca: internal/swarm: dispatcher releases slot leases 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2141-r3/RESULT.md
card-tools22-pre-2141-r5	tools22-pre	-	RESULT tools22-pre-2141-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2141 at head 41df639c6dca: internal/swarm: dispatcher releases slot leases 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2141-r5/RESULT.md
card-tools22-pre-2142-r2	tools22-pre	-	RESULT tools22-pre-2142-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2142 at head e992d1662345: nova-merge simulate/batch: check children do not	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2142-r2/RESULT.md
card-tools22-pre-2142-r3	tools22-pre	-	RESULT tools22-pre-2142-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2142 at head e992d1662345: nova-merge simulate/batch: check children do not	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2142-r3/RESULT.md
card-tools22-pre-2143-r2	tools22-pre	-	RESULT tools22-pre-2143-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2143 at head 8b8cdc18ddf7: release adopt: do not trust a partial release di	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2143-r2/RESULT.md
card-tools22-pre-2143-r3	tools22-pre	-	RESULT tools22-pre-2143-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2143 at head 8b8cdc18ddf7: release adopt: do not trust a partial release di	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2143-r3/RESULT.md
card-tools22-pre-2143-r5	tools22-pre	-	RESULT tools22-pre-2143-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2143 at head 8b8cdc18ddf7: release adopt: do not trust a partial release di	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2143-r5/RESULT.md
card-tools22-pre-2145-r2	tools22-pre	-	RESULT tools22-pre-2145-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2145 at head 0a7578201778: pulse: provisioning tracks go.mod's go directive	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2145-r2/RESULT.md
card-tools22-pre-2145-r3	tools22-pre	-	RESULT tools22-pre-2145-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2145 at head 0a7578201778: pulse: provisioning tracks go.mod's go directive	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2145-r3/RESULT.md
card-tools22-pre-2146-r2	tools22-pre	-	RESULT tools22-pre-2146-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2146 at head c427447e9bbf: sandbox: C++ compiles inside the darwin wall (#1	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2146-r2/RESULT.md
card-tools22-pre-2146-r3	tools22-pre	-	RESULT tools22-pre-2146-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2146 at head c427447e9bbf: sandbox: C++ compiles inside the darwin wall (#1	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2146-r3/RESULT.md
card-tools22-pre-2146-r5	tools22-pre	-	RESULT tools22-pre-2146-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2146 at head c427447e9bbf: sandbox: C++ compiles inside the darwin wall (#1	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2146-r5/RESULT.md
card-tools22-pre-2147-r5	tools22-pre	-	RESULT tools22-pre-2147-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2147 at head 3cac2c1daa7d: hygiene: pin KindDeclared and drive-letter PATHS	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2147-r5/RESULT.md
card-tools22-pre-2148-r2	tools22-pre	-	RESULT tools22-pre-2148-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2148 at head 03ee3a1847db: lint --card: refuse unknown KIND, drive-letter P	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2148-r2/RESULT.md
card-tools22-pre-2148-r3	tools22-pre	-	RESULT tools22-pre-2148-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2148 at head 03ee3a1847db: lint --card: refuse unknown KIND, drive-letter P	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2148-r3/RESULT.md
card-tools22-pre-2149-r2	tools22-pre	-	RESULT tools22-pre-2149-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2149 at head 410b28681418: tests: standing probe for planted symlink and FI	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2149-r2/RESULT.md
card-tools22-pre-2149-r3	tools22-pre	-	RESULT tools22-pre-2149-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2149 at head 410b28681418: tests: standing probe for planted symlink and FI	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2149-r3/RESULT.md
card-tools22-pre-2150-r5	tools22-pre	-	RESULT tools22-pre-2150-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2150 at head 5233434fb754: Reap leftover supervise that ignores TERM (#1598	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2150-r5/RESULT.md
card-tools22-pre-2151-r2	tools22-pre	-	RESULT tools22-pre-2151-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2151 at head fc653ac9402a317560a34d2264a6e51e6d95d9bd: sandbox, secrets: pi	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2151-r2/RESULT.md
card-tools22-pre-2151-r3	tools22-pre	-	RESULT tools22-pre-2151-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2151 at head fc653ac9402a317560a34d2264a6e51e6d95d9bd: sandbox, secrets: pi	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2151-r3/RESULT.md
card-tools22-pre-2151-r5	tools22-pre	-	RESULT tools22-pre-2151-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2151 at head fc653ac9402a317560a34d2264a6e51e6d95d9bd: sandbox, secrets: pi	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2151-r5/RESULT.md
card-tools22-pre-2152-r3	tools22-pre	-	RESULT tools22-pre-2152-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2152 at head 9699b2715d33: swarm: guard unguarded production so reverting i	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2152-r3/RESULT.md
card-tools22-pre-2153-r2	tools22-pre	-	RESULT tools22-pre-2153-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2153 at head 863795ba97ec: harvest: verify fence epoch and RUN token at eff	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2153-r2/RESULT.md
card-tools22-pre-2153-r3	tools22-pre	-	RESULT tools22-pre-2153-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2153 at head 863795ba97ec: harvest: verify fence epoch and RUN token at eff	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2153-r3/RESULT.md
card-tools22-pre-2154-r2	tools22-pre	-	RESULT tools22-pre-2154-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2154 at head 6cc7e810d616: pulse: pin six production changes so reverting t	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2154-r2/RESULT.md
card-tools22-pre-2154-r3	tools22-pre	-	RESULT tools22-pre-2154-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2154 at head 6cc7e810d616: pulse: pin six production changes so reverting t	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2154-r3/RESULT.md
card-tools22-pre-2154-r5	tools22-pre	-	RESULT tools22-pre-2154-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#2154 at head 6cc7e810d616: pulse: pin six production changes so reverting t	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-2154-r5/RESULT.md
card-tools22-pre-236-r3	tools22-pre	-	RESULT tools22-pre-236-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#236 at head a19af31c657c	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-236-r3/RESULT.md
card-tools22-pre-237-r5	tools22-pre	-	RESULT tools22-pre-237-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#237 at head 4753e9c30ba8: nova-release: SPEC draft 1	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-237-r5/RESULT.md
card-tools22-pre-238-r2	tools22-pre	-	"""RESULT tools22-pre-238-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#238 at head a32b149cbe03: Specify nova-redis as local scratch and cache wit"	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-238-r2/RESULT.md
card-tools22-pre-238-r3	tools22-pre	-	"""RESULT tools22-pre-238-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#238 at head a32b149cbe03: Specify nova-redis as local scratch and cache wit"	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-238-r3/RESULT.md
